DocID,Word,Topic
0,"power",21
0,"mop",21
0,"power",21
0,"genesis",11
0,"historical",11
0,"evolution",11
0,"formerly",2
0,"energy",21
0,"restructured",21
0,"specifically",2
0,"thermal",21
0,"hydro",0
0,"nuclear",21
0,"power",21
0,"sectors",11
0,"grid",21
0,"distribution",21
0,"reforms",21
0,"nation",2
0,"grid",21
0,"paradigm",11
0,"historical",11
0,"marker",11
0,"achieved",2
0,"reating",21
0,"single",2
0,"synchronous",21
0,"grid",21
0,"entire",11
0,"country",2
0,"modern",11
0,"green",21
0,"energy",21
0,"corridor",21
0,"integrate",17
0,"renewables",21
0,"grid",21
0,"draft",11
0,"electricity",21
0,"policy",21
0,"nep",18
0,"highest-priority",11
0,"arker",11
0,"released",11
0,"consultation",21
0,"targets",11
0,"increasing",11
0,"capita",21
0,"lectricity",21
0,"consumption",2
0,"kwh",21
0,"kwh",21
0,"kwh",21
0,"emphasizing",21
0,"decarbonization",21
0,"viksit",11
0,"infrastructure",11
0,"crucial",2
0,"distinction",11
0,"power",21
0,"mnre",21
0,"power",21
0,"handles",11
0,"utility",21
0,"thermal",21
0,"plants",11
0,"hydro-electric",21
0,"nuclear",21
0,"transmission",21
0,"lines",11
0,"smart",11
0,"meters",11
0,"discoms",21
0,"mnre",21
0,"handles",11
0,"source",21
0,"technology",0
0,"solar",21
0,"panels",21
0,"windmills",21
0,"green",21
0,"hydrogen",21
0,"production",11
0,"statutory",17
0,"regulatory",17
0,"autonomous",11
0,"bodies",11
0,"entities",2
0,"prices",0
0,"you",11
0,"pay",17
0,"stability",21
0,"grid",21
0,"energy",21
0,"fficiency",7
0,"appliances",21
0,"central",2
0,"electricity",21
0,"regulatory",17
0,"commission",11
0,"cerc",21
0,"apex",2
0,"statutory",11
0,"body",11
0,"hat",11
0,"regulates",17
0,"tariff",21
0,"central",2
0,"power",21
0,"utilities",17
0,"inter-state",21
0,"transmission",21
0,"bureau",2
0,"energy",21
0,"efficiency",2
0,"bee",21
0,"coordinates",11
0,"energy",21
0,"conservation",21
0,"programs",11
0,"star",2
0,"rating/labelling",17
0,"acs/fridges",17
0,"pat",7
0,"perform",21
0,"achieve",21
0,"trade",21
0,"carbon",21
0,"market",11
0,"central",2
0,"electricity",21
0,"authority",17
0,"cea",21
0,"technical",17
0,"hand",21
0,"dvises",21
0,"policy",21
0,"prepares",2
0,"electricity",21
0,"grid",21
0,"controller",11
0,"grid-india",21
0,"formerly",2
0,"posoco",21
0,"ntegrated",11
0,"operation",2
0,"regional",11
0,"power",21
0,"systems",2
0,"nuclear",21
0,"energy",21
0,"pivot",0
0,"shanti",21
0,"marker",11
0,"power",21
0,"atomic",21
0,"energy",21
0,"align",2
0,"ecarbonization",21
0,"shanti",21
0,"sustainable",11
0,"harnessing",21
0,"advancement",21
0,"nuclear",21
0,"nergy",21
0,"transforming",2
0,"paves",21
0,"public",17
0,"private",17
0,"ector",0
0,"involvement",21
0,"nuclear",21
0,"power",21
0,"reactors",21
0,"bsrs",17
0,"repurposed",21
0,"phwr",21
0,"reactors",21
0,"deployment",21
0,"industrial",2
0,"hubs",11
0,"deep",21
0,"decarbonization",11
0,"modular",21
0,"reactors",21
0,"smrs",21
0,"dedicated",11
0,"nuclear",21
0,"energy",21
0,"crore",11
0,"develop",17
0,"indigenously",21
0,"smrs",21
0,"flagship",11
0,"schemes",11
0,"distribution",21
0,"storage",0
0,"specific",2
0,"outcomes",11
0,"map",11
0,"power",21
0,"revamped",11
0,"distribution",21
0,"sector",2
0,"rdss",21
0,"outlay",0
0,"lakh",11
0,"rore",21
0,"improve",2
0,"financial",21
0,"health",17
0,"discoms",21
0,"smart",11
0,"metering",21
0,"deadline",2
0,"recently",11
0,"extended",21
0,"march",2
0,"arget",17
0,"crore",11
0,"smart",11
0,"meters",11
0,"loss",21
0,"reduction",11
0,"atc",21
0,"losses",17
0,"eliminate",17
0,"acs-arr",21
0,"gap",21
0,"viability",21
0,"gap",21
0,"funding",2
0,"vgf",21
0,"bess",21
0,"context",11
0,"approved",21
0,"econd",21
0,"vgf",21
0,"june",2
0,"gwh",0
0,"battery",21
0,"energy",21
0,"storage",21
0,"systems",2
0,"bess",21
0,"grid",21
0,"stability",21
0,"solar/wind",0
0,"added",21
0,"pm-ebus",0
0,"sewa",0
0,"payment",0
0,"security",0
0,"mechanism",2
0,"heavy",0
0,"industries",0
0,"ubsidizes",21
0,"buses",0
0,"power",21
0,"seci/cesl",21
0,"payment",0
0,"security",0
0,"fund",17
0,"operators",15
0,"get",2
0,"paid",21
0,"local",11
0,"bus",11
0,"uthorities",11
0,"default",0
0,"major",11
0,"public",17
0,"sector",0
0,"undertakings",21
0,"power",21
0,"giants",11
0,"ntpc",21
0,"limited",0
0,"india’s",11
0,"power",21
0,"utility",21
0,"pivoting",21
0,"heavily",17
0,"ntpc",21
0,"renewable",21
0,"energy",21
0,"green",21
0,"hydrogen",21
0,"blending",21
0,"power",21
0,"grid",21
0,"corporation",11
0,"powergrid",0
0,"maharatna",17
0,"psu",11
0,"operates",2
0,"ulk",21
0,"india’s",11
0,"inter-state",21
0,"transmission",21
0,"system",2
0,"nhpc",21
0,"thdc",21
0,"focused",11
0,"large-scale",21
0,"hydroelectric",11
0,"pumped",21
0,"storage",21
0,"rojects",21
0,"pfc",0
0,"rec",21
0,"nodal",2
0,"agencies",21
0,"rdss",21
0,"financial",0
0,"nstitutions",21
0,"fund",17
0,"entire",11
0,"power",21
0,"chain",11
0,"legislative",17
0,"framework",11
0,"electricity",21
0,"currently",11
0,"subject",11
0,"intense",21
0,"parliament",2
0,"shared",11
0,"network",17
0,"access",2
0,"proposes",18
0,"allowing",11
0,"multiple",17
0,"distribution",21
0,"licensees",21
0,"perate",21
0,"same",11
0,"area",11
0,"common/shared",21
0,"distribution",21
0,"network",17
0,"ntroducing",21
0,"competition",11
0,"home’s",15
0,"power",21
0,"supply",2
0,"suo",17
0,"motu",21
0,"tariffs",15
0,"empowers",17
0,"regulatory",17
0,"commissions",17
0,"determine",21
0,"tariffs",15
0,"utomatically",21
0,"every",11
0,"april",2
0,"discoms",21
0,"fail",2
0,"file",17
0,"petitions",11
0,"mandatory",11
0,"green",21
0,"energy",21
0,"obligations",21
0,"aligns",17
0,"electricity",21
0,"energy",21
0,"conservation",21
0,"enforce",2
0,"non-fossil",21
0,"fuel",21
0,"targets",11
0,"mop",21
0,"cerc",21
0,"serc",21
0,"bee",21
0,"rdss",21
0,"bess",21
0,"bsr",21
0,"smr",17
0,"pat",0
0,"ists",21
0,"posoco",21
0,"egacy",2
0,"atc",21
0,"acs-arr",21
0,"interventions",2
0,"smart",11
0,"metering",21
0,"extended",21
0,"pumped",21
0,"storage",21
0,"projects",11
0,"psp",21
0,"grid",21
0,"stability",21
0,"feed-in",21
0,"tariff",21
0,"green",21
0,"energy",21
0,"corridor",21
0,"non-fossil",21
0,"goal",11
0,"carbon",21
0,"market",21
0,"transmission",21
0,"distribution",21
0,"discom",21
0,"sub-station",17
0,"wheeling",21
0,"charges",15
0,"access",2
0,"load",21
0,"despatch",21
0,"transformer",0
0,"thermal",21
0,"power",21
0,"hydro-electric",21
0,"nuclear",21
1,"micro",23
1,"medium",23
1,"enterprises",0
1,"mome",9
1,"micro",23
1,"medium",23
1,"enterprises",23
1,"genesis",11
1,"historical",11
1,"evolution",11
1,"originally",23
1,"scale",23
1,"industries",23
1,"agro",9
1,"rural",9
1,"industries",23
1,"ssi",23
